dataset,model1,model2,sig_val,p_val,better_model,better_f1,worse_model,worse_f1
adversarial_squad,bertbc-lora,bertbc-adapter,***,0.0,bertbc-adapter,45.51,bertbc-lora,17.88
adversarial_squad,bertbc-plain,bertbc-adapter,***,0.0,bertbc-plain,61.84,bertbc-adapter,45.51
adversarial_squad,bertbc-plain,bertbc-lora,***,0.0,bertbc-plain,61.84,bertbc-lora,17.88
adversarial_squad,bertlc-adapter,bertbc-adapter,***,0.0,bertlc-adapter,64.27,bertbc-adapter,45.51
adversarial_squad,bertlc-adapter,bertbc-lora,***,0.0,bertlc-adapter,64.27,bertbc-lora,17.88
adversarial_squad,bertlc-adapter,bertbc-plain,*,0.019,bertlc-adapter,64.27,bertbc-plain,61.84
adversarial_squad,bertlc-lora,bertbc-adapter,,0.315,bertlc-lora,46.26,bertbc-adapter,45.51
adversarial_squad,bertlc-lora,bertbc-lora,***,0.0,bertlc-lora,46.26,bertbc-lora,17.88
adversarial_squad,bertlc-lora,bertbc-plain,***,0.0,bertbc-plain,61.84,bertlc-lora,46.26
adversarial_squad,bertlc-lora,bertlc-adapter,***,0.0,bertlc-adapter,64.27,bertlc-lora,46.26
adversarial_squad,bertlc-plain,bertbc-adapter,***,0.0,bertlc-plain,72.47,bertbc-adapter,45.51
adversarial_squad,bertlc-plain,bertbc-lora,***,0.0,bertlc-plain,72.47,bertbc-lora,17.88
adversarial_squad,bertlc-plain,bertbc-plain,***,0.0,bertlc-plain,72.47,bertbc-plain,61.84
adversarial_squad,bertlc-plain,bertlc-adapter,***,0.0,bertlc-plain,72.47,bertlc-adapter,64.27
adversarial_squad,bertlc-plain,bertlc-lora,***,0.0,bertlc-plain,72.47,bertlc-lora,46.26
adversarial_squad,optb-lora,bertbc-adapter,***,0.0,optb-lora,61.83,bertbc-adapter,45.51
adversarial_squad,optb-lora,bertbc-lora,***,0.0,optb-lora,61.83,bertbc-lora,17.88
