model,adversarial_squad,adversarial_hotpotqa,musique,newsqa,squad
t5l-plain-1,0,4,1,2,3
rl-plain-1,1,0,3,6,0
rl-plain-2,2,1,0,1,2
t5l-plain-3,3,5,5,4,5
t5l-plain-2,4,3,4,7,4
rl-plain-3,5,2,2,3,1
t5l-adapter-3,6,9,7,11,6
rl-adapter-3,7,7,18,19,9
rl-adapter-2,8,6,15,21,10
rl-adapter-1,9,11,17,12,11
t5l-adapter-2,10,10,6,0,7
optl-plain-1,11,16,14,28,36
optl-plain-3,12,17,10,35,37
t5l-adapter-1,13,8,9,9,8
optl-plain-2,14,14,8,32,43
t5l-lora-3,15,12,13,5,13
optl-lora-3,16,47,56,42,50
t5l-lora-2,17,13,12,10,12
t5l-lora-1,18,15,11,8,14
optl-lora-2,19,38,51,40,46
optl-adapter-1,20,39,55,52,49
optl-adapter-2,21,35,50,46,52
optl-adapter-3,22,36,49,45,47
optb-plain-2,23,27,32,41,51
optb-plain-3,24,32,30,37,45
optb-plain-1,25,29,34,43,48
optl-lora-1,26,45,54,44,53
t5b-plain-1,27,22,19,13,18
t5b-adapter-3,28,31,27,16,25
t5b-plain-3,29,28,20,14,19
t5b-plain-2,30,24,16,17,21
t5b-adapter-1,31,26,26,15,26
t5b-adapter-2,32,30,28,18,24
rl-lora-1,33,33,31,48,27
rb-plain-1,34,25,29,31,17
bertlc-plain-3,35,19,23,25,23
rb-plain-2,36,20,25,27,15
rb-plain-3,37,21,21,29,16
bertlc-plain-2,38,18,22,24,20
bertlc-plain-1,39,23,24,20,22
t5b-lora-1,40,46,36,26,30
rl-lora-2,41,40,38,55,29
t5b-lora-3,42,42,33,22,35
t5b-lora-2,43,43,37,23,34
rl-lora-3,44,44,35,50,28
optb-adapter-1,45,50,57,57,60
bertlc-adapter-2,46,57,46,39,41
bertlc-adapter-3,47,59,45,36,44
optb-adapter-2,48,49,64,61,61
rb-adapter-3,49,56,41,47,39
optb-adapter-3,50,48,65,58,62
rb-adapter-2,51,52,39,49,38
bertlc-adapter-1,52,58,40,38,42
rb-adapter-1,53,53,44,51,40
bertbc-plain-1,54,37,43,33,32
optb-lora-3,55,55,62,59,63
bertbc-plain-3,56,34,42,30,31
optb-lora-1,57,51,60,60,64
optb-lora-2,58,60,63,62,66
bertbc-plain-2,59,41,48,34,33
rb-lora-3,60,54,47,64,54
rb-lora-1,61,65,52,65,55
rb-lora-2,62,64,53,66,56
bertlc-lora-1,63,67,67,67,67
bertlc-lora-3,64,66,61,63,65
bertbc-adapter-3,65,61,58,54,57
bertbc-adapter-2,66,62,66,53,58
bertbc-adapter-1,67,63,59,56,59
bertlc-lora-2,68,68,68,68,68
bertbc-lora-2,69,71,69,69,69
bertbc-lora-1,70,69,70,70,70
bertbc-lora-3,71,70,71,71,71
