dataset,model1,model2,sig_val,p_val,better_model,better_f1,worse_model,worse_f1
adversarial_hotpotqa,optb-adapter,bertbc-adapter,***,0.0,optb-adapter,31.02,bertbc-adapter,22.85
adversarial_hotpotqa,optb-adapter,bertbc-lora,***,0.0,optb-adapter,31.02,bertbc-lora,9.69
adversarial_hotpotqa,optb-adapter,bertbc-plain,**,0.008,bertbc-plain,34.75,optb-adapter,31.02
adversarial_hotpotqa,optb-adapter,bertlc-adapter,***,0.0,optb-adapter,31.02,bertlc-adapter,25.05
adversarial_hotpotqa,optb-adapter,bertlc-lora,***,0.0,optb-adapter,31.02,bertlc-lora,16.96
adversarial_hotpotqa,optb-adapter,bertlc-plain,***,0.0,bertlc-plain,39.45,optb-adapter,31.02
adversarial_hotpotqa,optb-lora,optb-adapter,***,0.0,optb-adapter,31.02,optb-lora,25.91
adversarial_hotpotqa,optb-plain,optb-adapter,***,0.0,optb-plain,37.67,optb-adapter,31.02
adversarial_hotpotqa,optl-adapter,bertbc-adapter,***,0.0,optl-adapter,34.68,bertbc-adapter,22.85
adversarial_hotpotqa,optl-adapter,bertbc-lora,***,0.0,optl-adapter,34.68,bertbc-lora,9.69
adversarial_hotpotqa,optl-adapter,bertbc-plain,,0.465,bertbc-plain,34.75,optl-adapter,34.68
adversarial_hotpotqa,optl-adapter,bertlc-adapter,***,0.0,optl-adapter,34.68,bertlc-adapter,25.05
adversarial_hotpotqa,optl-adapter,bertlc-lora,***,0.0,optl-adapter,34.68,bertlc-lora,16.96
adversarial_hotpotqa,optl-adapter,bertlc-plain,***,0.0,bertlc-plain,39.45,optl-adapter,34.68
adversarial_hotpotqa,optl-adapter,optb-adapter,**,0.006,optl-adapter,34.68,optb-adapter,31.02
adversarial_hotpotqa,optl-adapter,optb-lora,***,0.0,optl-adapter,34.68,optb-lora,25.91
adversarial_hotpotqa,optl-adapter,optb-plain,*,0.019,optb-plain,37.67,optl-adapter,34.68
adversarial_hotpotqa,optl-lora,optb-adapter,*,0.034,optl-lora,33.49,optb-adapter,31.02
adversarial_hotpotqa,optl-lora,optl-adapter,,0.151,optl-adapter,34.68,optl-lora,33.49
adversarial_hotpotqa,optl-plain,optb-adapter,***,0.0,optl-plain,42.02,optb-adapter,31.02
adversarial_hotpotqa,optl-plain,optl-adapter,***,0.0,optl-plain,42.02,optl-adapter,34.68
adversarial_hotpotqa,rb-adapter,optb-adapter,**,0.002,optb-adapter,31.02,rb-adapter,26.33
adversarial_hotpotqa,rb-adapter,optl-adapter,***,0.0,optl-adapter,34.68,rb-adapter,26.33
adversarial_hotpotqa,rb-lora,optb-adapter,***,0.0,optb-adapter,31.02,rb-lora,22.17
adversarial_hotpotqa,rb-lora,optl-adapter,***,0.0,optl-adapter,34.68,rb-lora,22.17
adversarial_hotpotqa,rb-plain,optb-adapter,***,0.0,rb-plain,39.01,optb-adapter,31.02
adversarial_hotpotqa,rb-plain,optl-adapter,**,0.002,rb-plain,39.01,optl-adapter,34.68
adversarial_hotpotqa,rl-adapter,optb-adapter,***,0.0,rl-adapter,46.58,optb-adapter,31.02
adversarial_hotpotqa,rl-adapter,optl-adapter,***,0.0,rl-adapter,46.58,optl-adapter,34.68
adversarial_hotpotqa,rl-lora,optb-adapter,*,0.014,rl-lora,34.81,optb-adapter,31.02
adversarial_hotpotqa,rl-lora,optl-adapter,,0.473,rl-lora,34.81,optl-adapter,34.68
adversarial_hotpotqa,rl-plain,optb-adapter,***,0.0,rl-plain,51.36,optb-adapter,31.02
adversarial_hotpotqa,rl-plain,optl-adapter,***,0.0,rl-plain,51.36,optl-adapter,34.68
adversarial_hotpotqa,t5b-adapter,optb-adapter,***,0.0,t5b-adapter,37.81,optb-adapter,31.02
adversarial_hotpotqa,t5b-adapter,optl-adapter,*,0.015,t5b-adapter,37.81,optl-adapter,34.68
adversarial_hotpotqa,t5b-lora,optb-adapter,*,0.048,t5b-lora,33.56,optb-adapter,31.02
adversarial_hotpotqa,t5b-lora,optl-adapter,,0.245,optl-adapter,34.68,t5b-lora,33.56
adversarial_hotpotqa,t5b-plain,optb-adapter,***,0.0,t5b-plain,38.61,optb-adapter,31.02
adversarial_hotpotqa,t5b-plain,optl-adapter,**,0.002,t5b-plain,38.61,optl-adapter,34.68
adversarial_hotpotqa,t5l-adapter,optb-adapter,***,0.0,t5l-adapter,46.47,optb-adapter,31.02
adversarial_hotpotqa,t5l-adapter,optl-adapter,***,0.0,t5l-adapter,46.47,optl-adapter,34.68
adversarial_hotpotqa,t5l-lora,optb-adapter,***,0.0,t5l-lora,42.78,optb-adapter,31.02
adversarial_hotpotqa,t5l-lora,optl-adapter,***,0.0,t5l-lora,42.78,optl-adapter,34.68
adversarial_hotpotqa,t5l-plain,optb-adapter,***,0.0,t5l-plain,47.94,optb-adapter,31.02
adversarial_hotpotqa,t5l-plain,optl-adapter,***,0.0,t5l-plain,47.94,optl-adapter,34.68
adversarial_squad,optb-adapter,bertbc-adapter,***,0.0,optb-adapter,64.59,bertbc-adapter,45.51
adversarial_squad,optb-adapter,bertbc-lora,***,0.0,optb-adapter,64.59,bertbc-lora,17.88
adversarial_squad,optb-adapter,bertbc-plain,,0.05,optb-adapter,64.59,bertbc-plain,61.84
adversarial_squad,optb-adapter,bertlc-adapter,,0.437,optb-adapter,64.59,bertlc-adapter,64.27
adversarial_squad,optb-adapter,bertlc-lora,***,0.0,optb-adapter,64.59,bertlc-lora,46.26
adversarial_squad,optb-adapter,bertlc-plain,***,0.0,bertlc-plain,72.47,optb-adapter,64.59
