model,snli,matmnli,mnli,taxinli,snli-bt,snli-cf,snli_hard,hans,conjnli,pmonli
rl-plain,0,3,3,3,0,0,0,0,3,1
t5l-plain,1,1,1,0,1,1,1,1,0,5
t5l-adapter-6.34M,2,2,2,2,3,2,2,2,2,2
rl-adapter-3.17M,3,4,4,4,2,3,3,3,7,0
rb-plain,4,8,9,9,4,6,4,4,9,7
bertlc-plain,5,10,11,10,5,7,5,14,8,6
rl-lora-2.63M,6,5,5,6,6,5,6,6,12,4
bertbc-plain,7,14,14,13,7,9,9,13,11,12
t5l-lora-4.72M,8,0,0,1,8,4,7,7,1,3
optl-plain,9,12,10,11,9,8,8,5,10,11
t5b-plain,10,6,7,5,11,10,10,8,5,10
optb-plain,11,16,16,16,10,12,11,12,13,9
bertlc-adapter-3.17M,12,15,15,14,12,14,14,18,14,8
optl-adapter,13,18,18,18,15,13,13,9,16,20
t5b-adapter-1.79M,14,9,8,8,14,11,12,10,6,15
rb-adapter-895K,15,11,12,12,13,15,15,19,17,13
rb-lora-1.18M,16,13,13,15,16,17,16,21,20,16
bertlc-lora-1.58M,17,17,17,17,17,19,18,20,18,14
t5b-lora-1.77M,18,7,6,7,18,16,17,15,4,17
bertbc-adapter-895K,19,19,19,19,19,20,20,22,19,19
optl-lora-3.15M,20,20,20,20,20,18,19,11,15,18
optb-adapter,21,22,22,21,21,21,21,16,21,21
bertbc-lora-592K,22,21,21,22,22,22,22,23,22,23
optb-lora-1.57M,23,23,23,23,23,23,23,17,23,22
