model,pmonli,snli,conjnli,hans,mnli,snli-cf,snli_hard,matmnli,taxinli,snli-bt
rl-plain-3,0,0,14,0,10,1,2,11,11,0
rl-adapter-3.17M-1,1,11,26,7,14,7,12,13,14,11
rl-adapter-3.17M-2,2,9,24,11,12,9,9,12,12,8
rl-plain-1,3,1,7,1,11,0,1,9,9,1
rl-plain-2,4,2,16,2,9,3,0,10,10,2
rl-adapter-3.17M-3,5,10,23,13,13,13,10,14,13,9
t5l-adapter-6.34M-3,6,7,6,8,6,8,6,6,6,13
rl-lora-2.63M-3,7,18,42,15,15,15,18,15,16,17
t5l-plain-3,8,4,0,3,4,2,3,4,4,4
t5l-lora-4.72M-1,9,25,1,23,1,12,20,0,0,24
t5l-lora-4.72M-2,10,27,5,22,0,14,23,1,2,27
rl-lora-2.63M-1,11,19,33,24,16,16,21,16,15,19
t5l-plain-2,12,5,2,4,5,5,5,5,3,3
t5l-adapter-6.34M-2,13,6,8,12,7,6,8,7,7,5
t5l-lora-4.72M-3,14,26,10,21,2,11,24,2,5,28
bertlc-plain-1,15,15,30,35,35,23,15,31,32,15
t5l-adapter-6.34M-1,16,8,4,10,8,10,7,8,8,7
t5l-plain-1,17,3,3,6,3,4,4,3,1,6
bertlc-plain-2,18,17,28,44,33,21,16,30,31,16
rl-lora-2.63M-2,19,20,37,18,17,17,25,20,23,21
bertlc-plain-3,20,16,22,37,36,24,17,32,30,18
rb-plain-3,21,12,25,17,27,18,14,24,24,10
optl-plain-2,22,22,29,16,31,22,22,36,35,22
rb-plain-2,23,13,27,9,29,20,11,23,29,14
bertlc-adapter-3.17M-1,24,38,46,68,49,40,40,48,48,37
optl-plain-1,25,24,21,14,30,30,19,34,33,23
rb-plain-1,26,14,31,26,28,19,13,29,27,12
bertlc-adapter-3.17M-2,27,36,48,58,48,44,42,46,43,36
optb-plain-3,28,35,44,40,50,37,35,50,50,35
optb-plain-1,29,34,40,20,47,38,33,49,49,34
bertlc-lora-1.58M-1,30,52,61,67,54,56,55,53,53,51
bertlc-adapter-3.17M-3,31,42,38,51,42,42,44,40,39,43
t5b-plain-3,32,33,11,28,18,29,32,17,18,31
bertbc-plain-2,33,23,39,34,45,25,26,42,41,26
t5b-plain-1,34,32,18,27,22,32,31,19,17,32
rb-adapter-895K-2,35,45,52,56,37,43,45,33,36,40
bertlc-lora-1.58M-3,36,51,53,61,55,55,56,54,54,54
bertbc-plain-3,37,21,34,39,43,27,27,39,40,20
t5b-adapter-1.79M-3,38,41,15,31,25,36,36,26,25,44
rb-adapter-895K-1,39,46,54,53,38,48,47,37,38,38
rb-adapter-895K-3,40,47,50,54,34,49,46,35,37,39
optl-lora-3.15M-2,41,53,59,42,61,54,52,55,61,52
t5b-plain-2,42,30,9,25,21,28,30,18,20,30
bertbc-plain-1,43,28,36,43,46,31,28,45,42,25
rb-lora-1.18M-1,44,48,63,60,41,51,48,43,47,47
t5b-adapter-1.79M-1,45,39,20,33,23,35,41,25,22,41
rb-lora-1.18M-3,46,50,60,59,40,52,50,41,44,48
optb-plain-2,47,31,41,48,44,34,34,47,45,29
rb-lora-1.18M-2,48,49,56,57,39,53,49,44,46,49
t5b-adapter-1.79M-2,49,40,19,32,26,33,37,28,26,42
bertlc-lora-1.58M-2,50,57,47,55,52,58,57,51,51,55
optl-adapter-3,51,43,49,47,53,45,43,56,55,46
t5b-lora-1.77M-1,52,56,13,36,24,47,53,27,28,57
optl-lora-3.15M-3,53,63,32,29,60,57,62,58,60,63
bertbc-adapter-895K-1,54,59,58,62,59,64,61,61,58,59
optl-plain-3,55,29,35,19,32,26,29,38,34,33
bertbc-adapter-895K-3,56,58,57,65,58,62,59,60,56,58
t5b-lora-1.77M-2,57,55,17,46,20,46,54,22,21,56
optb-adapter-2,58,62,71,49,68,63,63,67,63,61
t5b-lora-1.77M-3,59,54,12,41,19,50,51,21,19,53
bertbc-adapter-895K-2,60,61,62,64,57,59,60,59,57,60
optl-adapter-2,61,44,45,38,56,39,39,57,59,50
optl-adapter-1,62,37,55,5,51,41,38,52,52,45
optb-lora-1.57M-1,63,64,68,50,67,65,65,68,67,67
optb-lora-1.57M-3,64,69,66,70,69,68,67,70,70,69
optl-lora-3.15M-1,65,68,43,30,65,60,64,66,66,68
optb-adapter-3,66,70,51,71,70,70,70,69,71,70
optb-adapter-1,67,60,67,45,66,61,58,64,62,62
bertbc-lora-592K-3,68,67,69,63,62,66,68,62,64,66
bertbc-lora-592K-1,69,65,65,69,63,67,66,63,65,65
bertbc-lora-592K-2,70,66,64,66,64,69,69,65,68,64
optb-lora-1.57M-2,71,71,70,52,71,71,71,71,69,71
