model,ce_adverb,ce_embedded_under_since,ln_subject/object_swap,sn_past_participle,le_around_prepositional_phrase,ln_relative_clause,sn_NP/S,cn_disjunction,le_around_relative_clause,cn_embedded_under_verb,se_conjunction,se_relative_clause_on_obj,sn_NP/Z,le_conjunction,sn_relative_clause_on_subject,ln_passive,cn_embedded_under_if,ln_preposition,ln_conjunction,le_relative_clause,se_understood_object,ce_embedded_under_verb,sn_PP_on_subject,ce_conjunction,se_PP_on_obj,ce_after_since_clause,cn_after_if_clause,le_passive,se_adjective,cn_adverb
bertbc-adapter-895K,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0
bertbc-lora-592K,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,99.9,100.0,0.0,100.0,100.0,100.0,0.0,100.0,99.97,0.0
bertbc-plain,100.0,99.33,70.53,0.1,99.93,46.57,0.0,0.0,99.7,0.0,99.87,100.0,13.73,98.5,2.93,9.8,7.53,55.73,40.23,97.13,100.0,99.07,4.53,100.0,100.0,100.0,0.0,98.93,100.0,0.0
bertlc-adapter-3.17M,100.0,98.37,0.0,1.43,100.0,0.3,0.03,1.27,99.93,0.9,99.9,100.0,1.73,99.47,0.53,0.0,6.77,0.03,0.63,97.93,100.0,99.6,0.0,99.6,99.97,99.9,0.33,100.0,99.97,0.0
bertlc-lora-1.58M,100.0,99.47,0.0,0.97,99.97,0.2,0.03,1.57,99.9,0.43,99.97,100.0,0.5,99.93,0.27,0.0,3.6,0.0,0.1,99.5,99.97,97.67,0.0,99.77,99.97,100.0,0.13,100.0,100.0,0.0
bertlc-plain,100.0,98.47,50.57,1.17,99.87,33.7,0.87,0.13,99.53,0.53,99.33,100.0,27.4,94.97,4.3,18.7,25.8,44.57,37.17,97.17,100.0,99.63,9.03,100.0,100.0,100.0,0.0,99.8,100.0,0.27
rb-adapter-895K,100.0,97.47,0.07,1.1,100.0,1.3,0.0,0.63,99.83,0.73,99.83,100.0,1.37,99.37,1.07,0.0,11.77,0.1,1.3,99.57,100.0,98.33,0.07,99.67,100.0,100.0,0.13,100.0,96.23,0.1
rb-lora-1.18M,100.0,99.33,0.0,0.03,100.0,0.2,0.0,0.1,100.0,0.0,100.0,100.0,0.17,100.0,0.1,0.0,1.77,0.0,0.07,99.93,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.1
rb-plain,99.97,78.8,91.73,7.73,98.63,76.17,0.53,7.83,99.0,11.97,89.93,99.97,25.3,85.3,35.9,2.6,57.1,85.43,73.97,97.3,90.3,97.53,56.2,93.8,99.57,98.1,3.03,98.23,98.93,16.0
rl-adapter-3.17M,100.0,90.0,82.93,1.3,100.0,77.97,0.0,4.23,99.97,6.13,84.57,100.0,20.63,94.4,73.7,18.73,52.8,87.97,74.97,98.93,100.0,99.97,66.17,99.8,99.97,99.97,0.07,99.93,99.9,0.2
rl-lora-2.63M,100.0,89.17,68.97,0.87,100.0,69.7,0.0,3.43,100.0,8.93,91.33,100.0,18.57,96.57,64.93,3.4,46.6,77.27,59.83,98.37,100.0,99.93,60.73,99.93,100.0,99.97,0.17,100.0,100.0,0.0
rl-plain,100.0,92.4,98.57,11.13,100.0,89.27,5.0,15.6,99.13,25.27,98.97,97.7,28.47,96.23,63.07,71.2,68.4,95.77,87.67,98.83,95.5,99.87,66.53,99.33,99.2,99.7,0.57,100.0,100.0,7.77
optb-lora-1.57M,26.23,32.2,90.13,75.07,18.07,84.83,65.93,74.0,12.7,80.7,18.43,26.33,83.23,20.83,89.97,85.73,67.87,86.5,88.0,17.9,13.07,17.5,86.73,14.43,22.33,18.97,78.17,7.83,22.73,85.6
optb-plain,95.77,93.17,52.03,7.33,97.23,45.47,5.9,9.47,93.53,7.37,92.13,97.63,3.53,93.5,24.3,7.77,21.47,61.3,46.8,94.43,89.97,98.5,36.73,96.33,98.77,98.63,1.2,91.97,98.13,13.5
optl-lora-3.15M,72.33,86.6,59.2,47.6,75.27,68.0,36.27,26.63,71.5,49.77,78.63,66.13,34.33,80.1,57.03,35.6,39.83,61.9,41.8,59.03,70.0,72.13,47.1,88.87,76.6,88.83,25.0,62.07,83.87,41.0
optl-plain,99.83,97.83,96.93,8.6,99.5,85.77,18.33,5.8,98.67,19.77,87.23,89.27,13.57,91.63,49.1,26.73,6.47,94.23,71.4,94.1,63.7,99.4,64.4,99.7,95.6,98.27,1.7,96.73,98.57,0.33
t5b-adapter-1.79M,100.0,95.97,94.2,2.67,100.0,63.5,0.0,0.47,100.0,1.47,98.13,100.0,3.33,99.23,9.53,0.23,19.03,66.7,55.1,96.33,100.0,84.4,16.77,99.9,100.0,100.0,0.0,99.7,99.33,0.07
t5b-lora-1.77M,99.97,93.27,80.93,4.47,99.7,38.0,0.1,0.37,99.93,1.73,99.4,99.67,7.83,99.7,8.17,0.87,19.73,41.77,29.6,96.33,100.0,88.3,7.23,99.33,99.9,99.93,0.2,100.0,99.0,0.17
t5b-plain,100.0,92.3,99.5,5.6,100.0,85.53,0.77,0.47,99.9,2.93,99.17,100.0,11.37,97.03,12.5,0.3,24.8,84.77,72.6,94.5,100.0,87.87,28.07,99.83,99.83,100.0,0.0,99.93,98.7,0.03
t5l-adapter-6.34M,100.0,99.27,93.73,0.03,100.0,88.1,0.0,0.0,100.0,5.4,99.93,100.0,6.2,100.0,58.27,18.73,36.2,91.53,84.27,99.57,100.0,99.97,64.03,100.0,100.0,100.0,0.0,100.0,100.0,0.0
t5l-lora-4.72M,100.0,98.1,80.47,0.0,100.0,70.67,0.0,0.0,99.97,4.63,100.0,100.0,7.17,100.0,46.57,5.03,31.6,77.73,67.8,99.7,100.0,100.0,50.4,100.0,100.0,100.0,0.0,100.0,100.0,0.0
t5l-plain,100.0,99.27,99.43,1.93,100.0,95.57,0.0,0.0,99.8,19.73,99.97,99.8,6.47,99.97,57.73,55.9,54.73,97.4,93.47,99.2,100.0,100.0,63.57,100.0,99.97,100.0,0.0,100.0,100.0,3.5
