NSD,Gen_type,arch,ft,size
-0.32810430637844545,OOD,do,adapter,base
-0.18823141636965557,OOD,eo,plain,base
-0.05435530816737872,OOD,ed,plain,large
-0.16667457961765705,OOD,eo,plain,large
-0.20263093966945994,OOD,eo,adapter,base
-0.09992714743082728,OOD,ed,plain,base
-0.220158747121411,OOD,do,lora,large
-0.13853588315471912,OOD,eo,lora,base
-0.03655911380033711,OOD,ed,lora,large
-0.07015084322278842,OOD,ed,adapter,large
-0.09094331422733834,OOD,eo,adapter,large
-0.2514827951907414,OOD,eo,lora,base
-0.2046523886331596,OOD,eo,lora,large
-0.09537316617111667,OOD,ed,adapter,base
-0.28519364365159383,OOD,do,lora,base
-0.0645090288464835,OOD,ed,adapter,large
-0.029589876261615872,OOD,ed,lora,large
-0.21119275739972446,OOD,do,adapter,large
-0.09509745970311896,OOD,eo,adapter,large
-0.09344357988474022,OOD,ed,adapter,base
-0.1865811110340032,OOD,eo,adapter,large
-0.2918061389630545,OOD,do,adapter,base
-0.06186254379061164,OOD,ed,lora,base
-0.144311383759844,OOD,eo,adapter,base
-0.0905504215349028,OOD,eo,plain,large
-0.18227770240378882,OOD,do,plain,base
-0.0986478628304096,OOD,eo,lora,large
-0.15888588615434307,OOD,eo,plain,large
-0.19116390905409564,OOD,do,lora,large
-0.13943383960399122,OOD,eo,lora,base
-0.1261153522399385,OOD,eo,plain,base
-0.1983773380821758,OOD,eo,adapter,base
-0.14174183829353598,OOD,do,plain,large
-0.0995672325608817,OOD,eo,adapter,large
-0.21984174850542595,OOD,do,adapter,large
-0.2500477880786505,OOD,eo,lora,base
-0.07106809278884034,OOD,ed,adapter,large
-0.2776463219785671,OOD,do,lora,base
-0.160779944581438,OOD,eo,adapter,large
-0.09168008067746196,OOD,ed,adapter,base
-0.18064820414247995,OOD,eo,lora,large
-0.1881189965801734,OOD,eo,plain,base
-0.05744233924710427,OOD,ed,plain,large
-0.08911283535701389,OOD,eo,plain,large
-0.19996889726934688,OOD,do,plain,base
-0.09775466921129104,OOD,eo,lora,large
-0.29467794262349245,OOD,do,adapter,base
-0.05578431907890352,OOD,ed,lora,base
-0.13404620388633873,OOD,eo,adapter,base
-0.25792673290922963,OOD,do,lora,large
-0.09935052154361497,OOD,ed,plain,base
-0.14258774314949163,OOD,eo,lora,base
-0.12423864479906085,OOD,eo,plain,base
-0.14371633838329817,OOD,do,plain,large
-0.08847315641564567,OOD,eo,plain,large
-0.10078834229982368,OOD,eo,lora,large
-0.1780411134014679,OOD,do,plain,base
-0.1857360331458515,OOD,eo,plain,base
-0.05856946659673855,OOD,ed,plain,large
-0.14174668688427297,OOD,eo,adapter,base
-0.056040906032881324,OOD,ed,lora,base
-0.12804754786920705,OOD,eo,plain,base
-0.20172597181969695,OOD,eo,adapter,base
-0.14651899555094064,OOD,do,plain,large
-0.09584467008516896,OOD,ed,plain,base
-0.16516894207953245,OOD,eo,plain,large
