model,dataset,AM,GM,median,Q1,Q3,midhinge,var,min,max,range,IQR,skew,kurtosis,num_samples,accuracy,f1
rl-plain,snli,0.93,0.0,1.0,1.0,1.0,1.0,0.07,0,1,1,0.0,-3.25,8.59,29472,0.93,0.93
bertbc-adapter-895K,snli,0.85,0.0,1.0,1.0,1.0,1.0,0.13,0,1,1,0.0,-1.98,1.9,29472,0.85,0.85
rb-adapter-895K,snli,0.88,0.0,1.0,1.0,1.0,1.0,0.1,0,1,1,0.0,-2.38,3.68,29472,0.88,0.88
optb-plain,snli,0.9,0.0,1.0,1.0,1.0,1.0,0.09,0,1,1,0.0,-2.6,4.75,29472,0.9,0.9
t5b-adapter-1.79M,snli,0.89,0.0,1.0,1.0,1.0,1.0,0.1,0,1,1,0.0,-2.43,3.92,29472,0.89,0.89
rb-plain,snli,0.91,0.0,1.0,1.0,1.0,1.0,0.08,0,1,1,0.0,-2.96,6.77,29472,0.91,0.91
optl-lora-3.15M,snli,0.84,0.0,1.0,1.0,1.0,1.0,0.14,0,1,1,0.0,-1.81,1.28,29472,0.84,0.84
t5l-lora-4.72M,snli,0.91,0.0,1.0,1.0,1.0,1.0,0.09,0,1,1,0.0,-2.76,5.63,29472,0.91,0.9
t5l-adapter-6.34M,snli,0.92,0.0,1.0,1.0,1.0,1.0,0.08,0,1,1,0.0,-3.05,7.3,29472,0.92,0.92
optl-plain,snli,0.9,0.0,1.0,1.0,1.0,1.0,0.09,0,1,1,0.0,-2.73,5.48,29472,0.9,0.9
rl-adapter-3.17M,snli,0.92,0.0,1.0,1.0,1.0,1.0,0.08,0,1,1,0.0,-3.02,7.14,29472,0.92,0.92
bertlc-plain,snli,0.91,0.0,1.0,1.0,1.0,1.0,0.08,0,1,1,0.0,-2.88,6.29,29472,0.91,0.91
optb-lora-1.57M,snli,0.78,0.0,1.0,1.0,1.0,1.0,0.17,0,1,1,0.0,-1.36,-0.15,29472,0.78,0.78
rb-lora-1.18M,snli,0.87,0.0,1.0,1.0,1.0,1.0,0.11,0,1,1,0.0,-2.22,2.92,29472,0.87,0.87
t5b-lora-1.77M,snli,0.86,0.0,1.0,1.0,1.0,1.0,0.12,0,1,1,0.0,-2.05,2.22,29472,0.86,0.86
rl-lora-2.63M,snli,0.91,0.0,1.0,1.0,1.0,1.0,0.08,0,1,1,0.0,-2.82,5.96,29472,0.91,0.91
bertlc-adapter-3.17M,snli,0.89,0.0,1.0,1.0,1.0,1.0,0.1,0,1,1,0.0,-2.46,4.06,29472,0.89,0.89
