model,AM,GM,median,Q1,Q3,midhinge,var,min,max,range,IQR,skew,kurtosis,num_samples
bertbc-adapter-895K,0.7,0.68,0.68,0.65,0.8,0.73,0.02,0.5,0.92,0.42,0.15,0.14,-0.98,9
bertbc-lora-592K,0.65,0.63,0.61,0.55,0.77,0.66,0.02,0.49,0.86,0.37,0.22,0.41,-1.27,9
bertbc-plain,0.76,0.75,0.74,0.73,0.84,0.78,0.01,0.58,0.95,0.37,0.11,-0.0,-0.95,9
bertlc-adapter-3.17M,0.74,0.73,0.73,0.73,0.83,0.78,0.02,0.5,0.96,0.46,0.1,-0.2,-0.68,9
bertlc-lora-1.58M,0.71,0.7,0.69,0.68,0.81,0.75,0.02,0.5,0.95,0.45,0.13,0.15,-0.81,9
bertlc-plain,0.78,0.77,0.77,0.76,0.85,0.8,0.01,0.58,0.98,0.4,0.09,-0.07,-0.75,9
optb-lora-1.57M,0.62,0.61,0.56,0.53,0.72,0.62,0.02,0.47,0.87,0.4,0.19,0.66,-0.94,9
optb-plain,0.75,0.74,0.73,0.71,0.84,0.77,0.02,0.57,0.96,0.39,0.13,0.2,-0.96,9
optl-lora-3.15M,0.7,0.69,0.65,0.61,0.78,0.7,0.01,0.57,0.92,0.35,0.17,0.71,-0.86,9
optl-plain,0.78,0.77,0.77,0.75,0.84,0.8,0.01,0.61,0.95,0.34,0.09,0.05,-0.75,9
rb-adapter-895K,0.74,0.73,0.76,0.73,0.83,0.78,0.02,0.5,0.95,0.45,0.1,-0.45,-0.66,9
rb-lora-1.18M,0.73,0.72,0.74,0.72,0.82,0.77,0.02,0.5,0.94,0.44,0.1,-0.4,-0.75,9
rb-plain,0.8,0.79,0.8,0.78,0.85,0.82,0.01,0.61,0.97,0.36,0.07,-0.25,-0.59,9
rl-adapter-3.17M,0.82,0.81,0.84,0.8,0.85,0.82,0.01,0.61,0.99,0.38,0.05,-0.47,-0.36,9
rl-lora-2.63M,0.8,0.79,0.82,0.79,0.85,0.82,0.01,0.58,0.98,0.4,0.06,-0.52,-0.4,9
rl-plain,0.84,0.83,0.85,0.81,0.86,0.84,0.01,0.66,0.99,0.33,0.05,-0.3,-0.25,9
t5b-adapter-1.79M,0.78,0.78,0.8,0.75,0.83,0.79,0.01,0.6,0.95,0.35,0.08,-0.35,-0.65,9
t5b-lora-1.77M,0.77,0.77,0.81,0.73,0.81,0.77,0.01,0.57,0.92,0.35,0.08,-0.71,-0.39,9
t5b-plain,0.8,0.79,0.81,0.76,0.84,0.8,0.01,0.63,0.95,0.32,0.08,-0.32,-0.76,9
t5l-adapter-6.34M,0.83,0.83,0.86,0.8,0.87,0.84,0.01,0.66,0.98,0.32,0.07,-0.51,-0.68,9
t5l-lora-4.72M,0.83,0.82,0.88,0.79,0.88,0.84,0.01,0.65,0.98,0.33,0.09,-0.63,-0.77,9
t5l-plain,0.84,0.84,0.87,0.81,0.88,0.84,0.01,0.67,0.98,0.31,0.07,-0.53,-0.53,9
