snli,mnli,snli-cf,conjnli,matmnli,hans,taxinli,snli-bt,pmonli,nmonli
rl,t5l,rl,t5l,t5l-lora,rl,t5l,rl,rl,optb-lora
t5l,t5l-lora,t5l-adap,t5l-lora,t5l,t5l,t5l-lora,t5l-adap,t5l,bertbc-lora
t5l-adap,t5l-adap,t5l,t5l-adap,t5l-adap,t5l-adap,t5l-adap,t5l,rl-adap,bertbc-adap
rb,rl,rl-adap,rl,rl,rl-adap,rl,rl-adap,t5l-adap,rb-lora
rl-adap,rl-adap,t5l-lora,t5b,rl-adap,rb,rl-adap,rb,rl-lora,bertlc-lora
bertlc,rl-lora,rl-lora,t5b-lora,t5b-adap,rl-lora,t5b-lora,bertlc,t5l-lora,optl-lora
rl-lora,t5b-lora,rb,t5b-adap,rb,optl,rl-lora,bertbc,bertlc,rb-adap
bertbc,t5b,bertlc,rl-adap,rl-lora,t5l-lora,t5b-adap,rl-lora,rb,t5b-lora
t5l-lora,rb,optl,bertlc,t5b-lora,t5b,t5b,optl,bertlc-adap,bertlc-adap
optl,t5b-adap,t5b,optl,t5b,t5b-adap,rb,t5l-lora,bertbc,optl
t5b,bertlc,bertbc,rb,bertlc,optb,bertlc,optb,t5b,optb
optb,optl,t5b-adap,bertbc,rb-adap,optl-lora,optl,t5b,bertlc-lora,bertbc
bertlc-adap,rb-adap,optb,rl-lora,optl,bertbc,rb-adap,rb-adap,optl,bertlc
rb-adap,rb-lora,rb-adap,optl-lora,bertbc,t5b-lora,bertbc,t5b-adap,optb,rb
t5b-adap,bertbc,bertlc-adap,optb,rb-lora,bertlc,bertlc-adap,bertlc-adap,rb-adap,rl-adap
rb-lora,bertlc-adap,t5b-lora,bertlc-adap,bertlc-adap,bertbc-adap,rb-lora,rb-lora,rb-lora,t5b-adap
t5b-lora,optb,rb-lora,rb-adap,optb,rb-adap,optb,bertlc-lora,t5b-adap,t5b
bertlc-lora,bertlc-lora,optl-lora,bertlc-lora,bertlc-lora,rb-lora,bertlc-lora,t5b-lora,optl-lora,rl-lora
bertbc-adap,bertbc-adap,bertlc-lora,rb-lora,optl-lora,optb-lora,bertbc-adap,bertbc-adap,t5b-lora,rl
optl-lora,optl-lora,bertbc-adap,bertbc-adap,bertbc-adap,bertlc-lora,optl-lora,optl-lora,bertbc-adap,t5l-lora
bertbc-lora,bertbc-lora,optb-lora,bertbc-lora,bertbc-lora,bertlc-adap,optb-lora,bertbc-lora,optb-lora,t5l-adap
optb-lora,optb-lora,bertbc-lora,optb-lora,optb-lora,bertbc-lora,bertbc-lora,optb-lora,bertbc-lora,t5l
